TIME_KEY,YEAR,MONTH,DAY,WEEK_OF_YEAR,QUARTER
20191106,2019,11,6,45,4
20191107,2019,11,7,45,4
20191108,2019,11,8,45,4
20191109,2019,11,9,45,4
20191110,2019,11,10,45,4
20191111,2019,11,11,46,4
20191112,2019,11,12,46,4
20191113,2019,11,13,46,4
20191114,2019,11,14,46,4
20191115,2019,11,15,46,4
20191116,2019,11,16,46,4
20191117,2019,11,17,46,4
20191118,2019,11,18,47,4
20191119,2019,11,19,47,4
20191120,2019,11,20,47,4
20191121,2019,11,21,47,4
20191122,2019,11,22,47,4
20191123,2019,11,23,47,4
20191124,2019,11,24,47,4
20191125,2019,11,25,48,4
20191126,2019,11,26,48,4
20191127,2019,11,27,48,4
20191128,2019,11,28,48,4
20191129,2019,11,29,48,4
20191130,2019,11,30,48,4
20191201,2019,12,1,48,4
20191202,2019,12,2,49,4
20191203,2019,12,3,49,4
20191204,2019,12,4,49,4
20191205,2019,12,5,49,4
20191206,2019,12,6,49,4
20191207,2019,12,7,49,4
20191208,2019,12,8,49,4
20191209,2019,12,9,50,4
20191210,2019,12,10,50,4
20191211,2019,12,11,50,4
20191212,2019,12,12,50,4
20191213,2019,12,13,50,4
20191214,2019,12,14,50,4
20191215,2019,12,15,50,4
20191216,2019,12,16,51,4
20191217,2019,12,17,51,4
20191218,2019,12,18,51,4
20191219,2019,12,19,51,4
20191220,2019,12,20,51,4
20191221,2019,12,21,51,4
20191222,2019,12,22,51,4
20191223,2019,12,23,52,4
20191224,2019,12,24,52,4
20191225,2019,12,25,52,4
20191226,2019,12,26,52,4
20191227,2019,12,27,52,4
20191228,2019,12,28,52,4
20191229,2019,12,29,52,4
20191230,2019,12,30,1,4
20191231,2019,12,31,1,4
